date_lab_plate	Title	Date	Lab	Plate
2023-08-21_Demengeot_plate_3	2023-08-21 plate_3	2023-08-21	Demengeot	plate_3
2023-08-21_Demengeot_plate_4	2023-08-21 plate_4	2023-08-21	Demengeot	plate_4
2023-08-21_Demengeot_plate_5	2023-08-21 plate_5	2023-08-21	Demengeot	plate_5
2023-08-21_Demengeot_plate_6	2023-08-21 plate_6	2023-08-21	Demengeot	plate_6
2023-08-21_Demengeot_plate_7	2023-08-21 plate_7	2023-08-21	Demengeot	plate_7
2023-08-31_Demengeot_plate_1	2023-08-31 plate_1	2023-08-31	Demengeot	plate_1
2023-08-31_Demengeot_plate_2	2023-08-31 plate_2	2023-08-31	Demengeot	plate_2
2023-08-31_Demengeot_plate_3	2023-08-31 plate_3	2023-08-31	Demengeot	plate_3
2023-08-31_Demengeot_plate_4	2023-08-31 plate_4	2023-08-31	Demengeot	plate_4
2023-08-31_Demengeot_plate_5	2023-08-31 plate_5	2023-08-31	Demengeot	plate_5
2023-08-31_Demengeot_plate_6	2023-08-31 plate_6	2023-08-31	Demengeot	plate_6
2023-08-31_Demengeot_plate_7	2023-08-31 plate_7	2023-08-31	Demengeot	plate_7
2023-08-31_Demengeot_plate_8	2023-08-31 plate_8	2023-08-31	Demengeot	plate_8
2023-09-03_Demengeot_plate_1	2023-09-03 plate_1	2023-09-03	Demengeot	plate_1
2023-09-03_Demengeot_plate_2	2023-09-03 plate_2	2023-09-03	Demengeot	plate_2
2023-09-03_Demengeot_plate_3	2023-09-03 plate_3	2023-09-03	Demengeot	plate_3
2023-09-03_Demengeot_plate_4	2023-09-03 plate_4	2023-09-03	Demengeot	plate_4
2023-09-03_Demengeot_plate_5	2023-09-03 plate_5	2023-09-03	Demengeot	plate_5
2023-09-03_Demengeot_plate_6	2023-09-03 plate_6	2023-09-03	Demengeot	plate_6
2023-09-03_Demengeot_plate_7	2023-09-03 plate_7	2023-09-03	Demengeot	plate_7
2023-09-07_Demengeot_plate_1	2023-09-07 plate_1	2023-09-07	Demengeot	plate_1
